2000;0,028958;2,576253;0,021196;0,000848;2,626407;1
2000;0,136586;1,218167;0,137132;0,568764;1,491885;2
2000;0,179785;0,971728;0,204443;0,680130;1,355956;3
2000;0,201786;0,999573;0,312602;0,801145;1,513961;4

4000;0,114517;24,826591;0,085614;0,001681;25,026722;1
4000;0,544452;14,024424;0,544736;1,974326;15,113612;2
4000;0,722725;10,432926;0,750509;2,871688;11,906160;3
4000;0,812168;8,376756;0,840822;3,208352;10,029746;4

6000;0,260120;83,859823;0,192875;0,002205;84,312818;1
6000;1,224894;45,493600;1,225016;3,649159;47,943510;2
6000;1,629745;33,434818;1,681651;5,823704;36,746214;3
6000;1,832675;26,497485;1,873936;6,070227;30,204096;4

8000;0,462904;198,155002;0,342951;0,002941;198,960857;1
8000;2,177744;105,155985;2,176914;6,055917;109,510643;2
8000;2,899676;74,559952;2,966796;8,702929;80,426424;3
8000;3,263218;58,580091;3,470913;9,366556;65,314222;4
