1600;1.261895;10.767360;1.657148;9.396876;13.686403;3
1800;1.814721;13.180414;2.905542;11.083549;17.900677;3
2000;2.471100;16.643226;2.990230;13.825306;22.104556;3
2200;2.917001;18.786415;3.610994;15.166000;25.314410;3
2400;3.447902;22.418668;4.202170;17.358926;30.068740;3
2600;3.779731;26.301816;4.857590;19.953271;34.939137;3
2800;4.454408;31.893206;5.834130;23.110455;42.181744;3
3000;4.196676;36.921990;6.997172;25.809693;48.115838;3
3200;5.750035;43.404043;7.816786;29.698291;56.970864;3
3400;7.012639;46.193027;8.685758;29.554619;61.891424;3
3600;7.599880;56.746651;9.104814;37.236075;73.451345;3
3800;9.545072;62.257346;10.569851;38.287576;82.372269;3
4000;9.953834;70.245061;10.799717;41.668097;90.998612;3
4200;10.527355;78.059435;14.342595;44.933157;102.929385;3
4400;10.737400;86.594240;14.654744;47.887805;111.986384;3
4600;13.392833;98.291101;16.692722;54.391112;128.376656;3
4800;16.044058;106.667401;16.747587;56.963715;139.459046;3
5000;15.305820;121.288999;20.269552;64.750651;156.864371;3
5200;16.732190;133.022075;23.460969;68.666814;173.215234;3
5400;18.919506;142.225237;23.935987;70.498218;185.080730;3
5600;21.010666;158.458495;22.785698;77.958072;202.254859;3
5800;21.450368;173.730666;26.363072;84.291751;221.544106;3
6000;22.089782;186.129948;29.291551;86.632764;237.511281;3
6200;25.200313;201.377102;30.000214;91.565847;256.577629;3
6400;27.448986;219.695031;34.925684;99.027788;282.069701;3
6600;28.236024;238.595538;37.712778;105.049222;304.544340;3
6800;29.589421;262.402505;38.131503;116.065440;330.123429;3
7000;32.212773;277.863593;40.712644;117.869299;350.789010;3
7200;31.062688;300.362199;44.409443;127.120080;375.834330;3
7400;36.196911;318.196376;45.884199;129.871359;400.277486;3
7600;36.203659;342.886109;44.604564;137.629519;423.694332;3
7800;36.398935;370.777130;47.538765;149.190550;454.714830;3
8000;40.083676;389.991858;53.687113;150.451094;483.762647;3
8200;50.380816;416.835138;80.046168;158.375571;547.262122;3
8400;55.503937;444.064236;84.747166;166.324989;584.315339;3
8600;54.220130;472.541674;91.839930;175.083805;618.601734;3
8800;59.970680;515.132502;103.211055;193.057452;678.314237;3
9000;65.003336;546.673532;106.226569;203.446565;717.903437;3
0;0.015694;0.000001;0.000001;0.000000;0.015696;4
200;0.019891;0.526542;0.042085;0.525006;0.588518;4
